电影：寄生虫 | 评分：8.8 | 评价人数
电影：天书奇谭 | 评分：9.2 | 评价人数
电影：蝙蝠侠：黑暗骑士崛起 | 评分：8.9 | 评价人数811458
电影：7号房的礼物 | 评分：8.9 | 评价人数620086
电影：超能陆战队 | 评分：8.8 | 评价人数1141184
电影：第六感 | 评分：8.9 | 评价人数
电影：爱在黎明破晓前 | 评分：8.8 | 评价人数
电影：茶馆 | 评分：9.6 | 评价人数
电影：爱在日落黄昏时 | 评分：8.9 | 评价人数650778
电影：被嫌弃的松子的一生 | 评分：8.8 | 评价人数773239
电影：哈利·波特与火焰杯 | 评分：8.8 | 评价人数
电影：头脑特工队 | 评分：8.8 | 评价人数801970
电影：未麻的部屋 | 评分：9.1 | 评价人数
电影：重庆森林 | 评分：8.8 | 评价人数
电影：借东西的小人阿莉埃蒂 | 评分：8.9 | 评价人数625905
电影：入殓师 | 评分：8.9 | 评价人数741508
电影：菊次郎的夏天 | 评分：8.9 | 评价人数
电影：断背山 | 评分：8.8 | 评价人数780660
电影：剪刀手爱德华 | 评分：8.7 | 评价人数
电影：勇敢的心 | 评分：8.9 | 评价人数
电影：时空恋旅人 | 评分：8.8 | 评价人数789645
电影：驯龙高手 | 评分：8.8 | 评价人数862306
电影：消失的爱人 | 评分：8.7 | 评价人数1070143
电影：无人知晓 | 评分：9.1 | 评价人数371146
电影：倩女幽魂 | 评分：8.8 | 评价人数
电影：傲慢与偏见 | 评分：8.7 | 评价人数929714
电影：花样年华 | 评分：8.8 | 评价人数
电影：新世界 | 评分：8.9 | 评价人数525403
电影：玩具总动员3 | 评分：8.9 | 评价人数590795
电影：完美的世界 | 评分：9.1 | 评价人数
电影：一个叫欧维的男人决定去死 | 评分：8.9 | 评价人数566923
电影：阳光灿烂的日子 | 评分：8.8 | 评价人数
电影：色，戒 | 评分：8.7 | 评价人数957808
电影：小森林 夏秋篇 | 评分：9.0 | 评价人数472338
电影：怪兽电力公司 | 评分：8.8 | 评价人数
电影：天使爱美丽 | 评分：8.7 | 评价人数
电影：教父3 | 评分：9.0 | 评价人数
电影：侧耳倾听 | 评分：8.9 | 评价人数
电影：哪吒闹海 | 评分：9.2 | 评价人数
电影：九品芝麻官 | 评分：8.8 | 评价人数
电影：请以你的名字呼唤我 | 评分：8.8 | 评价人数821756
电影：被解救的姜戈 | 评分：8.8 | 评价人数690106
电影：幸福终点站 | 评分：8.8 | 评价人数640439
电影：釜山行 | 评分：8.6 | 评价人数1346892
电影：神偷奶爸 | 评分：8.7 | 评价人数1044548
电影：小森林 冬春篇 | 评分：9.0 | 评价人数419709
电影：喜宴 | 评分：9.0 | 评价人数
电影：萤火之森 | 评分：8.8 | 评价人数609220
电影：告白 | 评分：8.8 | 评价人数742275
电影：玛丽和麦克斯 | 评分：9.0 | 评价人数469570
电影：七武士 | 评分：9.3 | 评价人数
电影：头号玩家 | 评分：8.6 | 评价人数1513592
电影：模仿游戏 | 评分：8.8 | 评价人数718677
电影：惊魂记 | 评分：9.0 | 评价人数
电影：大鱼 | 评分：8.8 | 评价人数
电影：心灵奇旅 | 评分：8.7 | 评价人数
电影：射雕英雄传之东成西就 | 评分：8.7 | 评价人数
电影：血战钢锯岭 | 评分：8.7 | 评价人数858163
电影：背靠背，脸对脸 | 评分：9.5 | 评价人数
电影：你的名字。 | 评分：8.5 | 评价人数1589576
电影：我是山姆 | 评分：9.0 | 评价人数
电影：机器人之梦 | 评分：9.1 | 评价人数
电影：阳光姐妹淘 | 评分：8.8 | 评价人数637606
电影：恐怖直播 | 评分：8.7 | 评价人数727009
电影：黑客帝国3：矩阵革命 | 评分：8.8 | 评价人数
电影：小丑 | 评分：8.7 | 评价人数
电影：三块广告牌 | 评分：8.7 | 评价人数918386
电影：谍影重重3 | 评分：8.9 | 评价人数470007
